key,destination_key,day_number,title,start_location,end_location,overnight_location,estimated_walking_hours,notes
di_pashu_1,dest_pashupatinath,1,Pashupatinath Temple Tour,Hotel / Home,Pashupatinath Temple,,2.5,"Visit the main temple complex, explore the banks of Bagmati River, observe cremation ceremonies at the ghats, and see the many linga shrines. Best visited early morning or late afternoon."
di_pashu_2,dest_pashupatinath,1,Lunch & Rest,Pashupatinath,Local Restaurant,,1,Enjoy traditional Newari or Nepali cuisine at a nearby restaurant.
di_boudha_1,dest_boudhanath,1,Boudhanath Stupa Visit,Hotel / Home,Boudhanath Stupa,,1.5,"Walk clockwise around the largest stupa in Nepal, spin prayer wheels, visit surrounding monasteries and shops. Evenings offer a serene atmosphere with butter lamp offerings."
di_swayambhu_1,dest_swayambhunath,1,Swayambhunath Stupa Visit,Hotel / Home,Swayambhunath Stupa,,2,"Climb the 365 steps to the Monkey Temple. Explore the main stupa with Buddha's eyes, visit the temple complex with shrines and statues, and enjoy panoramic views of Kathmandu Valley."
di_swayambhu_2,dest_swayambhunath,1,Budhanilkantha Visit,Swayambhunath,Budhanilkantha Temple,,1,"Optional visit to the reclining Vishnu statue at Budhanilkantha, a short drive away."
di_bhaktapur_1,dest_bhaktapur_durbar,1,Bhaktapur Durbar Square Tour,Hotel / Home,Bhaktapur Durbar Square,,3,"Explore the 55 Window Palace, Nyatapola Temple (Nepal's tallest pagoda), Vatsala Temple, Golden Gate, and Pottery Square. Taste famous Bhaktapur curd (juju dhau) and local yogurt."
di_bhaktapur_2,dest_bhaktapur_durbar,1,Changu Narayan Visit,Bhaktapur,Changu Narayan Temple,,2,"Short drive to Nepal's oldest temple, a UNESCO site dedicated to Lord Vishnu, dating back to the 4th century."
di_patan_1,dest_patan_durbar,1,Patan Durbar Square Tour,Hotel / Home,Patan Durbar Square,,2.5,"Explore the ancient Royal Palace, Krishna Mandir (stone temple), Hiranya Varna Mahavihar (Golden Temple), and the Patan Museum. Admire the finest collection of Newari architecture in Nepal."
di_lumbini_1,dest_lumbini,1,Lumbini Sacred Garden Tour,Hotel / Home,Maya Devi Temple,,3,"Visit the sacred Maya Devi Temple marking Buddha's birthplace, the Ashoka Pillar with its ancient inscription, and the sacred pond. Walk through the beautifully landscaped gardens."
di_lumbini_2,dest_lumbini,1,Monastery Zone Visit,Maya Devi Temple,International Monasteries,,3,"Explore the eastern and western monastery zones featuring Buddhist temples built by countries around the world including Thailand, Myanmar, China, Japan, Germany, and Sri Lanka."
