key,name,category,description,best_time,permit_required,rating,highlights,address_key
dest_pashupatinath,Pashupatinath Temple,religious_site,"One of the most sacred Hindu temples dedicated to Lord Shiva, located on the banks of the Bagmati River. A UNESCO World Heritage Site and a major pilgrimage destination. The temple complex features pagoda-style architecture, hundreds of linga shrines, and the sacred Bagmati River ghats where cremation ceremonies take place.","[""spring"",""autumn""]",False,5,"[""UNESCO World Heritage Site"",""Evening aarti on the Bagmati ghats"",""Only Hindus may enter the inner sanctum"",""Pagoda-style architecture and linga shrines""]",addr_pashupatinath
dest_boudhanath,Boudhanath Stupa,cultural_site,"One of the largest spherical stupas in the world and a UNESCO World Heritage Site. It is a focal point of Tibetan Buddhism in Nepal, with the all-seeing eyes of Buddha painted on all four sides of the spire. Surrounded by monasteries and colorful prayer flags, it comes alive during Losar (Tibetan New Year).","[""spring"",""autumn"",""winter""]",False,5,"[""Largest stupa in Nepal"",""All-seeing eyes of the Buddha"",""Circular walk with prayer wheels and monasteries"",""Atmospheric butter-lamp offerings in the evening""]",addr_boudhanath
dest_swayambhunath,Swayambhunath Stupa,religious_site,"Also known as the Monkey Temple, this ancient religious complex sits atop a hill west of Kathmandu. The stupa's dome represents the entire world, with the Buddha's eyes symbolizing wisdom and compassion. Offers panoramic views of the Kathmandu Valley and is one of the oldest religious sites in Nepal.","[""spring"",""autumn""]",False,5,"[""Panoramic Kathmandu Valley view"",""365 steps climb to the top"",""Monkey Temple with ancient shrines"",""One of the oldest religious sites in Nepal""]",addr_swayambhunath
dest_bhaktapur_durbar,Bhaktapur Durbar Square,historical_site,"A UNESCO World Heritage Site showcasing medieval Newari architecture at its finest. The square features the 55 Window Palace, the Vatsala Temple with its sandstone pillars, the iconic Nyatapola Temple (Nepal's tallest pagoda), and numerous other temples, courtyards, and sculptures dating back to the Malla period.","[""spring"",""autumn"",""winter""]",False,5,"[""UNESCO World Heritage Site"",""Nyatapola Temple - Nepal's tallest pagoda"",""55 Window Palace and Golden Gate"",""Famous juju dhau (Bhaktapur curd)""]",addr_bhaktapur
dest_patan_durbar,Patan Durbar Square,historical_site,"Located in the heart of Lalitpur, this UNESCO World Heritage Site is renowned for its extraordinary collection of Newari architecture, including the ancient Royal Palace, the Hiranya Varna Mahavihar (Golden Temple), and the Krishna Mandir built entirely of stone. The square is a masterpiece of traditional Nepali craftsmanship.","[""spring"",""autumn""]",False,4,"[""UNESCO World Heritage Site"",""Krishna Mandir carved from a single stone"",""Patan Museum of Newari art"",""Rich metalwork and woodcarving heritage""]",addr_patan
dest_lumbini,Lumbini Sacred Garden,religious_site,"The birthplace of Lord Buddha, Lumbini is one of the most important spiritual sites in the world. The sacred garden contains the Maya Devi Temple marking Buddha's exact birthplace, the Ashoka Pillar, and the sacred pond. The site is surrounded by monasteries built by Buddhist communities from around the world.","[""autumn"",""spring"",""winter""]",False,5,"[""Birthplace of Gautama Buddha"",""Maya Devi Temple and Ashoka Pillar"",""International monastery zone"",""UNESCO World Heritage Site""]",addr_lumbini
dest_janaki_mandir,Janaki Mandir,religious_site,"A magnificent Hindu temple dedicated to Goddess Sita (Janaki), built in the unique Koiri style of architecture. Also known as the Nau Lakha Mandir (nine lakhs of rupees spent on construction), it is one of the largest and most beautiful temples in Nepal. The temple is a major pilgrimage site for Hindus, especially during Vivaha Panchami.","[""autumn"",""spring"",""winter""]",False,4,"[""One of Nepal's largest temples"",""Unique Koiri-style Mughal-rose architecture"",""Vivaha Panchami wedding festival"",""60 rooms with colourful glass murals""]",addr_janakpur
dest_chitwan,Chitwan National Park,wildlife,"A UNESCO World Heritage Site and one of the best wildlife conservation areas in Asia. Home to the endangered one-horned rhinoceros, Bengal tiger, Asian elephant, and over 500 species of birds. Activities include jungle safaris, canoe rides, elephant bathing, and nature walks through dense sal forests and grasslands.","[""autumn"",""spring""]",False,5,"[""UNESCO World Heritage Site"",""Wildlife safaris and canoe rides"",""Spot the one-horned rhinoceros and Bengal tiger"",""500+ bird species"",""Tharu cultural performances""]",addr_chitwan
dest_phewa_lake,Phewa Lake,lake,"The second largest lake in Nepal and the centerpiece of Pokhara. Famous for its clear waters reflecting the Annapurna and Machhapuchhre mountain ranges. Visitors can enjoy boating, watersports, and visit the Tal Barahi Temple located on an island in the lake. The lakeside area is lined with restaurants, bars, and shops.","[""spring"",""autumn""]",False,4,"[""Mirror reflections of Machhapuchhre"",""Tal Barahi Temple on an island"",""Boating, kayaking and paddleboarding"",""Lakeside dining and nightlife""]",addr_pokhara
dest_nagarkot,Nagarkot Viewpoint,viewpoint,"A popular hill station offering panoramic views of the Himalayan range including Mount Everest, Annapurna, and Langtang. Famous for its spectacular sunrise views over the Himalayas. The area features numerous resorts and hiking trails through pine forests and traditional villages.","[""autumn"",""spring"",""winter""]",False,4,"[""Best sunrise views over the Himalayas"",""Views of up to 20 Himalayan peaks"",""Mountain biking and hiking trails"",""Close to Kathmandu - easy weekend spot""]",addr_nagarkot
